ID, Nombre del Animal, Continente, Cantidad de Ejemplares
1651, Gato de Tierra, América, 200000
1652, Gorrión, América, 2000000
1653, Oso Hormiguero, América, 3000
1654, Gato de León, América, 15000
1655, Nutria de Mar, América, 500000
1656, Gato Montés, América, 50000
1657, Gato doméstico, América, 1000000
1658, Gato Americano, América, 6000
1659, Robalo, América, 100000
1660, Nutria, América, 300000
1661, Oso Pardo, América, 100000
1662, Tigre Siberiano, Asia, 500
1663, Nutria de Río, América, 600000
1664, Gato de los Bosques, América, 20000
1665, Gorra de Rey, América, 100000
1666, Gato de la Selva, América, 2000
1667, Gorrión, América, 2000000
1668, Rata de Espinas, América, 1000000
1669, Gato de Tierra, América, 200000
1670, Lobo Gris, América, 300000
1671, Gato doméstico, América, 1000000
1672, Nutria, América, 300000
1673, Robalo, América, 100000
1674, Oso Polar, América, 25000
1675, Gato Americano, América, 6000
1676, Nutria de Mar, América, 500000
1677, Gato de León, América, 15000
1678, Tigre Indochina, Asia, 2500
1679, Gato Montés, América, 50000
1680, Delfín Nariz de Botella, América, 60000
1681, Gorra de Rey, América, 100000
1682, Rata de Campo, Europa, 5000000
1683, Nutria de Río, América, 600000
1684, Gato de la Selva, América, 2000
1685, Oso Hormiguero, América, 3000
1686, Gato de los Bosques, América, 20000
1687, Gato doméstico, América, 1000000
1688, Gato de Tierra, América, 200000
1689, Gorrión, América, 2000000
1690, Nutria, América, 300000
1691, Robalo, América, 100000
1692, Oso Pardo, América, 100000
1693, Tigre Siberiano, Asia, 500
1694, Gato Americano, América, 6000
1695, Nutria de Mar, América, 500000
1696, Gato Montés, América, 50000
1697, Gato de León, América, 15000
1698, Delfín, Oceanía, 500000
1699, Gato de los Bosques, América, 20000
1700, Rata de Espinas, América, 1000000
1701, Gorra de Rey, América, 100000
1702, Nutria, América, 300000
1703, Robalo, América, 100000
1704, Gato doméstico, América, 1000000
1705, Tigre Indochina, Asia, 2500
1706, Lobo de Tasmania, Oceanía, 0
1707, Gato de Tierra, América, 200000
1708, Oso Polar, América, 25000
1709, Gato Americano, América, 6000
1710, Gorrión, América, 2000000
1711, Gato de León, América, 15000
1712, Nutria de Río, América, 600000
1713, Gato de la Selva, América, 2000
1714, Nutria de Mar, América, 500000
1715, Gato Montés, América, 50000
1716, Oso Hormiguero, América, 3000
1717, Gato de los Bosques, América, 20000
1718, Robalo, América, 100000
1719, Oso Pardo, América, 100000
1720, Rata de Campo, Europa, 5000000
1721, Gorra de Rey, América, 100000
1722, Nutria, América, 300000
1723, Gato doméstico, América, 1000000
1724, Gato Americano, América, 6000
1725, Tigre Siberiano, Asia, 500
1726, Gato de Tierra, América, 200000
1727, Delfín Nariz de Botella, América, 60000
1728, Gato de León, América, 15000
1729, Gato de la Selva, América, 2000
1730, Robalo, América, 100000
1731, Gorra de Rey, América, 100000
1732, Nutria, América, 300000
1733, Gato Montés, América, 50000
1734, Oso Polar, América, 25000
1735, Gato doméstico, América, 1000000
1736, Rata de Espinas, América, 1000000
1737, Lobo Gris, América, 300000
1738, Gato Americano, América, 6000
1739, Nutria de Mar, América, 500000
1740, Gato de los Bosques, América, 20000
1741, Gorrión, América, 2000000
1742, Oso Pardo, América, 100000
1743, Gato de Tierra, América, 200000
1744, Tigre de Indochina, Asia, 2500
1745, Gato de León, América, 15000
1746, Nutria de Río, América, 600000
1747, Gorra de Rey, América, 100000
1748, Robalo, América, 100000
1749, Nutria, América, 300000
1750, Gato Montés, América, 50000
1751, Oso Hormiguero, América, 3000
1752, Gato doméstico, América, 1000000
1753, Tigre Siberiano, Asia, 500
1754, Gato Americano, América, 6000
1755, Rata de Espinas, América, 1000000
1756, Gorra de Rey, América, 100000
1757, Gato de Tierra, América, 200000
1758, Oso Polar, América, 25000
1759, Gato de la Selva, América, 2000
1760, Robalo, América, 100000
1761, Nutria de Mar, América, 500000
1762, Gato de León, América, 15000
1763, Gorrión, América, 2000000
1764, Gato Montés, América, 50000
1765, Nutria, América, 300000
1766, Delfín, Oceanía, 500000
1767, Gato doméstico, América, 1000000
1768, Oso Pardo, América, 100000
1769, Tigre Indochina, Asia, 2500
1770, Gato de los Bosques, América, 20000
1771, Gorra de Rey, América, 100000
1772, Robalo, América, 100000
1773, Nutria, América, 300000
1774, Oso Hormiguero, América, 3000
1775, Gato Americano, América, 6000
1776, Gato de Tierra, América, 200000
1777, Oso Polar, América, 25000
1778, Gato de León, América, 15000
1779, Rata de Espinas, América, 1000000
1780, Nutria de Río, América, 600000
1781, Gorra de Rey, América, 100000
1782, Gato doméstico, América, 1000000
1783, Gato Montés, América, 50000
1784, Gato de la Selva, América, 2000
1785, Tigre Siberiano, Asia, 500
1786, Robalo, América, 100000
1787, Nutria de Mar, América, 500000
1788, Gato Americano, América, 6000
1789, Oso Pardo, América, 100000
1790, Gorrión, América, 2000000
1791, Gato de Tierra, América, 200000
1792, Rata de Campo, Europa, 5000000
1793, Nutria, América, 300000
1794, Delfín Nariz de Botella, América, 60000
1795, Gato de los Bosques, América, 20000
1796, Oso Hormiguero, América, 3000
1797, Gato doméstico, América, 1000000
1798, Gato Montés, América, 50000
1799, Robalo, América, 100000
1800, Nutria de Río, América, 600000
1801, Tigre Indochino, Asia, 2500
1802, Gato de León, América, 15000
1803, Gato de la Selva, América, 2000
1804, Gorra de Rey, América, 100000
1805, Gato Americano, América, 6000
1806, Nutria de Mar, América, 500000
1807, Oso Polar, América, 25000
1808, Lobo de Tasmania, Oceanía, 0
1809, Gato doméstico, América, 1000000
1810, Oso Pardo, América, 100000
1811, Gato de Tierra, América, 200000
1812, Gato de los Bosques, América, 20000
1813, Gorra de Rey, América, 100000
1814, Robalo, América, 100000
1815, Nutria, América, 300000
1816, Rata de Espinas, América, 1000000
1817, Gorrión, América, 2000000
1818, Tigre Siberiano, Asia, 500
1819, Nutria de Río, América, 600000
1820, Gato de León, América, 15000
1821, Nutria, América, 300000
1822, Gato Americano, América, 6000
1823, Delfín, Oceanía, 500000
1824, Gato Montés, América, 50000
1825, Oso Hormiguero, América, 3000
1826, Gato de la Selva, América, 2000
1827, Robalo, América, 100000
1828, Gato doméstico, América, 1000000
1829, Oso Polar, América, 25000
1830, Gorra de Rey, América, 100000
1831, Tigre Indochino, Asia, 2500
1832, Rata de Campo, Europa, 5000000
1833, Gato de Tierra, América, 200000
1834, Gato de los Bosques, América, 20000
1835, Nutria, América, 300000
1836, Robalo, América, 100000
1837, Gato Montés, América, 50000
1838, Gato doméstico, América, 1000000
1839, Nutria de Mar, América, 500000
1840, Oso Pardo, América, 100000
1841, Gato de León, América, 15000
1842, Gorra de Rey, América, 100000
1843, Gato de la Selva, América, 2000
1844, Gato Americano, América, 6000
1845, Delfín Nariz de Botella, América, 60000
1846, Nutria de Río, América, 600000
1847, Tigre Siberiano, Asia, 500
1848, Rata de Espinas, América, 1000000
1849, Gorrión, América, 2000000
1850, Gato doméstico, América, 1000000
1851, Oso Hormiguero, América, 3000
1852, Robalo, América, 100000
1853, Gato Montés, América, 50000
1854, Gato de Tierra, América, 200000
1855, Nutria, América, 300000
1856, Oso Pardo, América, 100000
1857, Tigre Indochina, Asia, 2500
1858, Gato de los Bosques, América, 20000
1859, Gorra de Rey, América, 100000
1860, Gato de la Selva, América, 2000
1861, Gato Americano, América, 6000
1862, Oso Polar, América, 25000
1863, Nutria de Mar, América, 500000
1864, Rata de Campo, Europa, 5000000
1865, Gato de León, América, 15000
1866, Gorrión, América, 2000000
1867, Nutria Río, América, 600000
1868, Gato doméstico, América, 1000000
1869, Gato Montés, América, 50000
1870, Oso Hormiguero, América, 3000
1871, Robalo, América, 100000
1872, Gato de Tierra, América, 200000
1873, Delfín, Oceanía, 500000
1874, Gato de los Bosques, América, 20000
1875, Tigre Siberiano, Asia, 500
1876, Gorra de Rey, América, 100000
1877, Nutria, América, 300000
1878, Gato de la Selva, América, 2000
1879, Oso Pardo, América, 100000
1880, Gato Americano, América, 6000
1881, Gorrión, América, 2000000
1882, Rata de Espinas, América, 1000000
1883, Nutria de Río, América, 600000
1884, Robalo, América, 100000
1885, Gato doméstico, América, 1000000
1886, Nutria de Mar, América, 500000
1887, Gato Montés, América, 50000
1888, Tigre Indochina, Asia, 2500
1889, Gato de León, América, 15000
1890, Gorra de Rey, América, 100000
1891, Gato de Tierra, América, 200000
1892, Oso Polar, América, 25000
1893, Delfín Nariz de Botella, América, 60000
1894, Nutria, América, 300000
1895, Gato de los Bosques, América, 20000
1896, Gorrión, América, 2000000
1897, Gato de la Selva, América, 2000
1898, Rata de Campo, Europa, 5000000
1899, Gato doméstico, América, 1000000
1900, Oso Pardo, América, 100000
